X	target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	ens_gene	ext_gene	organism_id	drug_id	dose_id	time_id	efit_id	efit_root	feature_id	ensembl_transcript_id	fdr	logfc	ave	ensembl_gene_id	ensembl_gene_type	ensembl_transcript_type	ensembl_gene_status	ensembl_transcript_status	ensembl_chromosome	ensembl_description	ensembl_gene_name	ensembl_transcript_name	gene_id	significant	direction	model_data_count	model_feature_count	model_gene_count	n_up	n_dn	n_significant	pct_significant	efit_ok
7216	ENSRNOT00000033719	0.292331286330075	0.621293847389482	-0.126930971965636	0.120539809372649	5.13368351993671	0.0585411495078573	0.00638597915534463	0.0517334034190337	0.0507931041756437	0.0517334034190337	ENSRNOG00000022540	Trex1	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000033719	ENSRNOT00000033719	0.621293847389482	-0.183122683790039	5.13368351993671	ENSRNOG00000022540	protein_coding	protein_coding	KNOWN	KNOWN	8	three prime repair exonuclease 1 [Source:RGD Symbol;Acc:1311998]	Trex1	Trex1-201	100049583	FALSE	0	1710	1681	1710	87	154	241	14.093567251462	TRUE
1229	ENSRNOT00000022900	0.00400131303032404	0.0499366470782019	-0.267660550787963	0.0930003952642756	8.29551387967666	0.0276444361375286	0.000269015410347381	0.00888083175182873	0.0343272786668986	0.0343272786668986	ENSRNOG00000016936	Nadk	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000022900	ENSRNOT00000022900	0.0499366470782019	-0.386152549263403	8.29551387967666	ENSRNOG00000016936	protein_coding	protein_coding	KNOWN	KNOWN	5	NAD kinase [Source:RGD Symbol;Acc:1642420]	Nadk	Nadk-201	100125370	TRUE	-1	1710	1681	1710	87	154	241	14.093567251462	TRUE
2663	ENSRNOT00000016891	0.0363262190908093	0.209189515494437	-0.39995516310709	0.191068351112903	5.66063031264936	0.178950330574418	0.00395382842644458	0.14207463076157	0.0401538402655345	0.14207463076157	ENSRNOG00000046357	Adh4	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000016891	ENSRNOT00000016891	0.209189515494437	-0.577013330392535	5.66063031264936	ENSRNOG00000046357	protein_coding	protein_coding	KNOWN	KNOWN	2	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:RGD Symbol;Acc:71028]	Adh4	Adh4-201	100145871	FALSE	0	1710	1681	1710	87	154	241	14.093567251462	TRUE
6154	ENSRNOT00000063952	0.216859206465271	0.540687252993752	-0.126270631689672	0.102249811313559	5.75789147769492	0.0163835872897173	0.00309887934629225	0.00989945777060236	0.0387212163083417	0.0387212163083417	ENSRNOG00000024801	Slc35a2	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000063952	ENSRNOT00000063952	0.540687252993752	-0.182170014148607	5.75789147769492	ENSRNOG00000024801	protein_coding	protein_coding	KNOWN	KNOWN	X	solute carrier family 35 (UDP-galactose transporter), member A2 [Source:RGD Symbol;Acc:2293497]	Slc35a2	Slc35a2-201	100158233	FALSE	0	1710	1681	1710	87	154	241	14.093567251462	TRUE
3695	ENSRNOT00000037303	0.0765149333198341	0.317528692440372	-0.182885461351165	0.103250726573562	5.64457358299264	0.0188706049821371	0.00223289554373541	0.00842929780180329	0.0404099546081384	0.0404099546081384	ENSRNOG00000047933	Phykpl	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000037303	ENSRNOT00000037303	0.317528692440372	-0.263847948142016	5.64457358299264	ENSRNOG00000047933	protein_coding	protein_coding	KNOWN	KNOWN	10	5-phosphohydroxy-L-lysine phospho-lyase [Source:RGD Symbol;Acc:2293818]	Phykpl	Phykpl-201	100169747	FALSE	0	1710	1681	1710	87	154	241	14.093567251462	TRUE
11116	ENSRNOT00000043825	0.611970538476929	0.844328876419819	0.0465005602002842	0.0916695912704608	6.81386915052892	0.0209193637931013	0.00163076381642791	0.020165039647912	0.0319824920383454	0.0319824920383454	ENSRNOG00000033378	Rnf123	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000043825	ENSRNOT00000043825	0.844328876419819	0.0670861275995086	6.81386915052892	ENSRNOG00000033378	protein_coding	protein_coding	KNOWN	KNOWN	8	ring finger protein 123 [Source:RGD Symbol;Acc:2301394]	Rnf123	Rnf123-201	100190936	FALSE	0	1710	1681	1710	87	154	241	14.093567251462	TRUE
3679	ENSRNOT00000054924	0.0760031800537114	0.316862401648226	0.268669206052679	0.151417300556128	5.90992241910491	0.104843713863691	0.00252493743046938	0.0891838582003495	0.0368823902048649	0.0891838582003495	ENSRNOG00000036667	Hexdc	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000054924	ENSRNOT00000054924	0.316862401648226	0.387607731211775	5.90992241910491	ENSRNOG00000036667	protein_coding	protein_coding	KNOWN	KNOWN	10	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing [Source:RGD Symbol;Acc:2302323]	Hexdc	Hexdc-201	100216475	FALSE	0	1710	1681	1710	87	154	241	14.093567251462	TRUE
8212	ENSRNOT00000044775	0.369458108436187	0.690057046662717	0.279034039349461	0.310905291275533	2.47379115859481	0.329915917038441	0.140327007518367	0.190908619275483	0.246321393054129	0.246321393054129	ENSRNOG00000046958	Abo	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000044775	ENSRNOT00000044775	0.690057046662717	0.402561024808683	2.47379115859481	ENSRNOG00000046958	protein_coding	protein_coding	KNOWN	KNOWN	3	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase) [Source:RGD Symbol;Acc:2307241]	Abo	Abo-201	100301568	FALSE	0	1710	1681	1710	87	154	241	14.093567251462	TRUE
4823	ENSRNOT00000022359	0.13303933961898	0.422517486099258	-0.377331501747185	0.251181961438469	2.84284316930685	0.265655781021208	0.0666662150659563	0.177285246825114	0.18570329594235	0.18570329594235	ENSRNOG00000016643	Lpcat2	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000022359	ENSRNOT00000022359	0.422517486099258	-0.544374286341849	2.84284316930685	ENSRNOG00000016643	protein_coding	protein_coding	KNOWN	KNOWN	19	lysophosphatidylcholine acyltransferase 2 [Source:RGD Symbol;Acc:2325051]	Lpcat2	Lpcat2-201	100359680	FALSE	0	1710	1681	1710	87	154	241	14.093567251462	TRUE
6415	ENSRNOT00000004206	0.234873884429664	0.561312405888416	0.124264910750144	0.104609138880101	7.67998231960244	0.044971940044013	0.000437089970834784	0.0433351977781103	0.0329585006603239	0.0433351977781103	ENSRNOG00000003150	Mpc2	rno	acetaminophen	d1	t1	rno_acetaminophen_t1_d1	dod_rnaseq_rno_acetaminophen_t1_d1	ENSRNOT00000004206	ENSRNOT00000004206	0.561312405888416	0.179276370495742	7.67998231960244	ENSRNOG00000003150	protein_coding	protein_coding	KNOWN	KNOWN	13	mitochondrial pyruvate carrier 2 [Source:RGD Symbol;Acc:1563422]	Mpc2	Mpc2-201	100359982	FALSE	0	1710	1681	1710	87	154	241	14.093567251462	TRUE
